STRATEGY,NUM_YEAR,NUM_MONTH,NUM_DAY,IMPRESSIONS,CLICKS,REVENUE
auctionexpr,2015,6,17,638472496,255277,118198
auctionexpr,2015,6,18,688101120,241239,104223
auctionexpr,2015,6,19,635311479,0,0
auctionexpr,2015,6,20,470997977,343407,155424
auctionexpr,2015,6,21,416743887,301834,139810
auctionexpr,2015,6,22,737993182,348570,159691
auctionexpr,2015,6,23,706141350,358983,167960
auctionexpr,2015,6,24,761493145,376362,171967
auctionexpr,2015,6,25,771253716,347505,153481
auctionexpr,2015,6,26,717946996,353555,159855
auctionexpr,2015,6,27,446280047,299095,124534
auctionexpr,2015,6,28,405609465,260906,114315
auctionexpr,2015,6,29,690236292,310345,154215
auctionexpr,2015,6,30,716894604,313670,188537
auctionexpr,2015,7,1,586548353,229774,54048
auctionexpr,2015,7,2,666227026,274823,72837
auctionexpr,2015,7,3,621950859,267743,74015
auctionexpr,2015,7,4,370718151,187937,62547
auctionexpr,2015,7,5,355897904,194696,62698
auctionexpr,2015,7,6,613851700,204472,69793
auctionexpr,2015,7,7,658680409,158601,55275
auctionexpr,2015,7,8,644254052,232621,95791
auctionexpr,2015,7,9,550783674,231155,88984
auctionexpr,2015,7,10,593612742,229760,101082
auctionexpr,2015,7,11,419659889,219676,98767
auctionexpr,2015,7,12,420475598,222687,110859
auctionexpr,2015,7,13,657824766,229896,102030
auctionexpr,2015,7,14,673968131,246524,104132
auctionexpr,2015,7,15,690761566,252817,107584
auctionexpr,2015,7,16,658326088,250722,108560
auctionexpr,2015,7,17,646232782,278084,126889
auctionexpr,2015,7,18,395190472,243756,109936
auctionexpr,2015,7,19,412428052,251995,128378
auctionexpr,2015,7,20,685484443,284721,113551
auctionexpr,2015,7,21,680246211,305274,111524
auctionexpr,2015,7,22,658852928,162292,43475
auctionexpr,2015,7,23,678610131,308500,111600
auctionexpr,2015,7,24,606647368,274458,106124
auctionexpr,2015,7,25,424015416,284535,104897
auctionexpr,2015,7,26,399481305,248662,114959
auctionexpr,2015,7,27,696404351,266412,112066
auctionexpr,2015,7,28,647366853,251165,117703
auctionexpr,2015,7,29,654409808,266870,128312
auctionexpr,2015,7,30,650292925,267700,135509
auctionexpr,2015,7,31,601174241,236325,146450
auctionexpr,2015,8,1,404814568,221514,64453
auctionexpr,2015,8,2,355096241,198293,62468
auctionexpr,2015,8,3,668108736,243835,81974
auctionexpr,2015,8,4,687734363,254991,99793
auctionexpr,2015,8,5,648983367,239708,93369
auctionexpr,2015,8,6,664939530,242605,94502
auctionexpr,2015,8,7,630174822,295455,97019
b5,2015,6,7,6298176,2982,1049
b5,2015,6,8,12218266,3554,1434
b5,2015,6,9,13610204,3540,1636
b5,2015,6,10,13081169,4248,1809
b5,2015,6,11,11817574,3861,1756
b5,2015,6,12,12139792,4519,2001
b5,2015,6,13,6694040,4026,1728
b5,2015,6,14,6308453,3733,1605
b5,2015,6,15,12892616,4512,1797
b5,2015,6,16,13057425,4004,1724
b5,2015,6,17,12126525,3625,1635
b5,2015,6,18,13138032,3661,1708
b5,2015,6,19,12094529,0,0
b5,2015,6,20,8168065,4948,2321
b5,2015,6,21,7314946,4541,2234
b5,2015,6,22,14310614,4970,2429
b5,2015,6,23,13445051,5213,2654
b5,2015,6,24,14223071,4870,2457
b5,2015,6,25,14355569,4362,2207
b5,2015,6,26,13436348,5134,2552
b5,2015,6,27,7691780,4498,1792
b5,2015,6,28,6653197,3146,1456
b5,2015,6,29,12614710,4627,2086
b5,2015,6,30,13306295,4677,2346
b5,2015,7,1,11323082,3368,768
b5,2015,7,2,12558942,4019,1014
b5,2015,7,3,11603504,3225,980
b5,2015,7,4,6529531,2967,828
b5,2015,7,5,6254014,2975,958
b5,2015,7,6,12315000,3232,1042
b5,2015,7,7,13408557,2481,734
b5,2015,7,8,12577872,3818,1320
b5,2015,7,9,10670859,3783,1335
b5,2015,7,10,11561110,3969,1686
b5,2015,7,11,7719006,4198,1749
b5,2015,7,12,7691916,3489,1707
b5,2015,7,13,13120939,3604,1486
b5,2015,7,14,13309742,3847,1563
b5,2015,7,15,13549658,3547,1301
b5,2015,7,16,12783797,3497,1406
b5,2015,7,17,12652321,4155,1821
b5,2015,7,18,7089619,3304,1519
b5,2015,7,19,7400994,3382,1691
b5,2015,7,20,13431671,3733,1535
b5,2015,7,21,13154595,4419,1783
b5,2015,7,22,12882904,2302,704
b5,2015,7,23,13225711,4290,1517
b5,2015,7,24,11696247,3876,1578
b5,2015,7,25,7852513,4147,1667
b5,2015,7,26,7306593,3683,1613
b5,2015,7,27,14052083,4190,1817
b5,2015,7,28,12897636,3690,1736
b5,2015,7,29,13328365,4233,2016
b5,2015,7,30,12968166,4176,2078
b5,2015,7,31,11986096,3847,2177
b5,2015,8,1,7728854,3640,1156
b5,2015,8,2,6666106,3125,989
b5,2015,8,3,13771052,3861,1268
b5,2015,8,4,13985665,4126,1478
b5,2015,8,5,13079646,3368,1334
b5,2015,8,6,13604168,3547,1317
b5,2015,8,7,12852417,4648,1502
c5,2015,6,7,6278738,3318,727
c5,2015,6,8,12202368,4240,978
c5,2015,6,9,13565392,5106,1213
c5,2015,6,10,13254968,5013,1128
