st, fmt, uuid, ad, cr, fl, BID, mibid, avbid, mxbid, nmbid, CTR, mictr, avctr, mxctr, nmctr, CTX, mictx, avctx, mxctx, nmctx, qlt, miqlt, avqlt, mxqlt, nmqlt, CTU, mictu, avctu, mxctu, nmctu, BTU, mibtu, avbtu, mxbtu, nmbtu, hour, comb, order, adnum, cpc, click
auctionexpr, ci_n_ads.js, cfb94eff5bbe4a028d908f7174b94b82, 1008486, 1320382, 3172107, 0.60, 0.05, 0.45, 1.50, 0.1034, 1724, 253, 1546, 7663, 0.02402, 0.88, 0.29, 0.32, 0.88, 0.9492, 6.90, 2.52, 3.43, 7.05, 0.7660, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 11, 1010324:1008486:1010793:993356:1008279:1007924:1009667:1010557:1005922:, 2, 9, 0.00, 0
b9, ci_n_ads.js, 8b2957792717411eba86e332c3048fb4, 1010520, 1324053, 3172860, 1.00, 0.05, 0.49, 1.00, 0.5368, 3708, 253, 2161, 12774, 0.1236, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.46, 0.32, 0.42, 0.74, 0.09524, 0.00, 0.00, 0.00, 0.00, 0, 11, 1007419:1010728:1010520, 3, 3, 0.00, 0
a9, ci_n_ads.js, 7ce084a6a84a4de99ab7428a90783a52, 1010324, 1323859, 3172929, 0.60, 0.05, 0.38, 1.00, 0.2316, 2624, 615, 3056, 11509, -0.03965, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.89, 0.59, 0.77, 1.34, 0.1600, 0.00, 0.00, 0.00, 0.00, 0, 12, 1010324:710657:738640:, 1, 3, 0.16, 1
a9, ci_n_ads.js, 7ce084a6a84a4de99ab7428a90783a52, 738640, 970252, 2816978, 0.30, 0.05, 0.38, 1.00, -0.08421, 2024, 615, 3056, 11509, -0.09473, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.72, 0.59, 0.77, 1.34, -0.06667, 0.00, 0.00, 0.00, 0.00, 0, 12, 1010324:710657:738640:, 3, 3, 0.00, 0
e9, ci_n_ads.js, 660bf04de789428f8d413cc1e61f76fb, 1009990, 1323245, 3172313, 0.70, 0.05, 0.35, 1.00, 0.3684, 2422, 251, 1706, 7663, 0.09660, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.30, 0.30, 0.32, 0.52, -0.09091, 0.00, 0.00, 0.00, 0.00, 0, 12, 1010152:1009990:997563:1009667:1001844:1006804:1010324:1010670:1008486:, 2, 9, 0.00, 0
auctionexpr, ci_n_ads.js, e5f61faff3074a53abc59adef6732a73, 1005922, 1323536, 3168814, 0.82, 0.05, 0.43, 0.86, 0.4815, 1605, 333, 3468, 13265, -0.1441, 4.21, 0.83, 1.83, 4.57, 0.6364, 6.24, 2.68, 4.53, 7.59, 0.3483, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1005922:1010793, 1, 2, 0.79, 1
auctionexpr, ci_n_ads.js, b132278b8b0a4cb8bec6367a25733861, 1000139, 1306463, 3162540, 0.70, 0.05, 0.33, 0.90, 0.4353, 2824, 394, 2876, 7719, -0.007099, 0.73, 0.31, 0.38, 0.73, 0.8333, 7.46, 3.39, 5.03, 7.94, 0.5341, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1000139:1007924:1005922, 1, 3, 0.00, 0
b9, ci_n_ads.js, 158a24b9e40c43e2be58aba1b503de43, 1010834, 1324609, 3173185, 0.52, 0.05, 0.38, 3.00, 0.04746, 15090, 238, 3942, 17060, 0.6627, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.00, 0.00, 1.16, 4.62, -0.2511, 3.16, 0.00, 2.35, 7.34, 0.1104, 12, 1010869:1010834:995036:, 2, 3, 0.00, 0
auctionexpr, ci_n_ads.js, d4c02f268975482b83fa8d48211669de, 1010105, 1323512, 3172448, 0.80, 0.05, 0.34, 0.80, 0.6133, 1557, 404, 1546, 5652, 0.002096, 5.85, 2.82, 4.40, 5.85, 0.4785, 7.10, 5.25, 6.30, 8.18, 0.2730, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1010105:1010127, 1, 2, 0.71, 1
auctionexpr, ci_n_ads.js, 7928c6561e504998b9ab88440c8299fe, 1008451, 1321848, 3171249, 0.90, 0.05, 0.34, 0.90, 0.6588, 1383, 675, 2268, 6571, -0.1501, 2.41, 2.03, 2.58, 3.41, -0.1232, 5.80, 5.21, 6.49, 8.49, -0.2104, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 12, 1008451:1010105, 1, 2, 0.00, 0
