st, fmt, uuid, ad, cr, fl, BID, mibid, avbid, mxbid, nmbid, CTR, mictr, avctr, mxctr, nmctr, CTX, mictx, avctx, mxctx, nmctx, qlt, miqlt, avqlt, mxqlt, nmqlt, CTU, mictu, avctu, mxctu, nmctu, BTU, mibtu, avbtu, mxbtu, nmbtu, hour, comb, order, adnum, cpc, click
auctionexpr, ci_n_ads.js, 5e31611d2fce4210b752f85444440709, 1006804, 1323814, 3169768, 0.60, 0.05, 0.35, 0.89, 0.2976, 762, 246, 3148, 7471, -0.3302, 2.28, 2.28, 2.68, 3.42, -0.3509, 5.20, 5.14, 6.92, 8.80, -0.4699, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 19, 1006804:1011001:1008145, 1, 3, 0.6, 1
auctionexpr, ci_n_ads.js, 090607cd8f584e82b14905f8947d99b8, 1011046, 1324912, 3173349, 0.50, 0.05, 0.24, 0.50, 0.5778, 2146, 223, 1777, 17884, 0.02089, 2.20, 2.20, 2.29, 3.61, -0.06383, 5.05, 4.62, 5.06, 8.69, -0.002457, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 19, 1010367:1011046, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 497a4f801afd48dda63697a3fe961feb, 1010324, 1323859, 3172996, 1.50, 0.05, 0.35, 1.50, 0.7931, 2086, 136, 1626, 5620, 0.08388, 2.33, 1.83, 2.19, 3.99, 0.06481, 5.97, 4.34, 5.48, 9.03, 0.1045, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 19, 1010324:1011092:1003432:1010957:1000180:1009990:1008186:1009534:1010127, 1, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 497a4f801afd48dda63697a3fe961feb, 1011092, 1324959, 3173400, 0.76, 0.05, 0.35, 1.50, 0.2828, 4519, 136, 1626, 5620, 0.5275, 2.13, 1.83, 2.19, 3.99, -0.02778, 7.48, 4.34, 5.48, 9.03, 0.4264, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 19, 1010324:1011092:1003432:1010957:1000180:1009990:1008186:1009534:1010127, 2, 9, 0.00, 0
auctionexpr, ci_n_ads.js, b1c1af8c95af4229b30cb17718d5ba75, 1010324, 1323859, 3172927, 1.50, 0.05, 0.26, 1.50, 0.8552, 2125, 179, 2640, 7518, -0.07017, 0.41, 0.40, 0.47, 1.14, -0.08108, 3.84, 2.89, 4.41, 7.99, -0.1118, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 19, 1010324:1009966, 1, 2, 0.00, 0
auctionexpr, ci_n_ads.js, f258e6c7956c4fb68a113a5ef5c8c879, 1010869, 1324644, 3173220, 0.45, 0.05, 0.38, 1.50, 0.04828, 15035, 114, 2877, 15035, 0.8148, 0.43, 0.27, 0.67, 10.83, -0.02273, 4.86, 0.66, 1.85, 6.26, 0.5375, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 19, 1000118:1003432:1004303:1010869:1001533:1003313:1005912:1010032:1010324, 4, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 3bcae8d1c90343a4a8971783390e2a60, 1010136, 1323559, 3172475, 0.50, 0.05, 0.29, 1.00, 0.2211, 4928, 361, 1647, 13151, 0.2565, 1.33, 0.79, 1.58, 3.62, -0.08834, 4.82, 2.48, 4.05, 9.23, 0.1141, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 20, 1009170:1005912:1010136, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, f9af4b859bab40dea1138f6392f751b4, 1010105, 1323512, 3172448, 0.80, 0.05, 0.38, 0.80, 0.5600, 1577, 387, 1821, 5623, -0.04660, 4.88, 1.38, 3.35, 4.88, 0.4371, 7.12, 4.63, 6.21, 8.30, 0.2480, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 20, 1010105:1010127, 1, 2, 0.00, 0
a9, ci_n_ads.js, 19345c83c8fa468e81797e9aff4e59aa, 1010127, 1323588, 3172522, 0.60, 0.05, 0.35, 0.89, 0.2976, 4322, 270, 4635, 15034, -0.02120, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.01, 0.97, 1.44, 2.13, 0.4914, 0.00, 0.00, 0.00, 0.00, 0, 20, 1010797:1009760:992394:1010127:1010976:, 4, 5, 0.00, 0
a9, ci_n_ads.js, 19345c83c8fa468e81797e9aff4e59aa, 1010976, 1324762, 3173280, 0.45, 0.05, 0.35, 0.89, 0.1190, 6929, 270, 4635, 15034, 0.1554, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.01, 0.97, 1.44, 2.13, 0.4914, 0.00, 0.00, 0.00, 0.00, 0, 20, 1010797:1009760:992394:1010127:1010976:, 5, 5, 0.45, 1
c9, ci_n_ads.js, 46bc1b7fed3b4a159797dab917a12814, 1010815, 1324585, 3173166, 0.09, 0.05, 0.31, 0.80, -0.2933, 4047, 123, 3114, 8603, 0.1100, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.70, 0.97, 1.69, 4.65, 0.002717, 0.00, 0.00, 0.00, 0.00, 0, 20, 1010815:1010960:999412:, 1, 3, 0.00, 0
auctionexpr, ci_n_ads.js, e74c8349fb4d4e5292883e80f6b6a8bc, 1011059, 1324925, 3173362, 0.50, 0.05, 0.38, 0.60, 0.2182, 3123, 639, 1885, 5622, 0.2484, 3.09, 1.78, 2.86, 4.27, 0.09237, 7.31, 4.76, 6.16, 8.38, 0.3177, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 20, 1010127:1011059, 2, 2, 0.5, 1
auctionexpr, ci_n_ads.js, c9f54bc924f2474bbba25303ca7c42f0, 1011058, 1324924, 3173361, 0.50, 0.05, 0.33, 0.60, 0.3091, 5193, 1075, 2396, 5622, 0.6151, 2.31, 1.32, 1.81, 2.63, 0.3817, 9.27, 5.15, 6.48, 9.27, 0.6772, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 20, 1011058:1010955, 1, 2, 0.4, 1
d9, ci_n_ads.js, d7b6940d9db9424da0f285dd93e81eb8, 1004074, 1313925, 3169180, 0.06, 0.05, 0.33, 0.89, -0.3214, 1418, 255, 2849, 5905, -0.2533, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.11, 2.11, 2.50, 3.38, -0.3071, 0.00, 0.00, 0.00, 0.00, 0, 20, 1010757:980270:1004074:, 3, 3, 0.00, 0
e9, ci_n_ads.js, a3f94be67b644e6c9e335b17db0c35ce, 1011058, 1324924, 3173361, 0.50, 0.05, 0.36, 0.60, 0.2545, 5193, 693, 2647, 5622, 0.5165, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.52, 1.68, 2.65, 3.87, -0.05936, 0.00, 0.00, 0.00, 0.00, 0, 20, 1010127:1011058, 2, 2, 0.00, 0
c9, ci_n_ads.js, 17240dfb4f43476281c6586d482ce437, 1009775, 1322844, 3172138, 0.39, 0.05, 0.24, 0.89, 0.1786, 839, 277, 2006, 13142, -0.09071, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.55, 0.41, 0.47, 0.60, 0.4211, 0.00, 0.00, 0.00, 0.00, 0, 20, 1009170:999299:1009775:, 3, 3, 0.31, 1
b9, ci_n_ads.js, 90101e6e6073430c8ea00918f1617d28, 1010127, 1323588, 3172629, 0.60, 0.05, 0.32, 1.00, 0.2947, 2440, 167, 1579, 5630, 0.1576, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.78, 0.26, 0.41, 2.94, 0.5112, 0.00, 0.00, 0.00, 0.00, 0, 21, 1010812:980270:1008186:1009169:1001741:1010127:1009990:1006513:989417:, 6, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 0eb39244968b42e09d4c095577758e78, 1010127, 1323587, 3172520, 0.60, 0.05, 0.37, 0.60, 0.4182, 2467, 640, 2015, 5630, 0.09058, 5.84, 2.84, 4.21, 5.84, 0.5433, 7.75, 5.25, 6.55, 8.59, 0.3593, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 21, 1010127:1011058, 1, 2, 0.6, 1
d9, ci_n_ads.js, 5524b3d8a5ed41dfae77e2055cc8b98d, 999479, 1305159, 3161427, 0.05, 0.05, 0.36, 0.60, -0.5636, 1311, 693, 2689, 5629, -0.2792, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.56, 2.86, 4.19, 5.87, -0.2093, 0.00, 0.00, 0.00, 0.00, 0, 21, 999479:1011058:, 1, 2, 0.00, 0
c9, ci_n_ads.js, e29e4e9961dc42c399e0c94e67ed0619, 973478, 1251138, 3120933, 0.15, 0.05, 0.23, 0.89, -0.09524, 1432, 350, 2039, 13137, -0.04747, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.39, 0.33, 0.37, 0.48, 0.1333, 0.00, 0.00, 0.00, 0.00, 0, 21, 996588:1007545:973478:, 3, 3, 0.00, 0
a9, ci_n_ads.js, 1c79c9829b8f42cdafaec8aa89a45258, 1000180, 1306504, 3169766, 0.30, 0.05, 0.29, 0.70, 0.01538, 1514, 384, 2858, 11472, -0.1212, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.62, 0.30, 0.42, 0.88, 0.3448, 0.00, 0.00, 0.00, 0.00, 0, 21, 1005910:1009772:1000180, 3, 3, 0.14, 1
a9, ci_n_ads.js, bb84ba10570d41f292a01e41555754db, 1011032, 1324878, 3173336, 0.45, 0.05, 0.36, 0.60, 0.1636, 1829, 694, 2542, 5627, -0.1445, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.21, 1.85, 2.90, 4.22, 0.1308, 0.00, 0.00, 0.00, 0.00, 0, 22, 1010978:1011032, 2, 2, 0.45, 1
e9, ci_n_ads.js, b3f4113a0b034aa99f1798a3aafd6735, 1009534, 1322260, 3171943, 0.60, 0.05, 0.22, 0.60, 0.6909, 2942, 406, 1943, 7044, 0.1505, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.21, 2.32, 2.36, 3.21, 0.9551, 0.00, 0.00, 0.00, 0.00, 0, 22, 1009534:1011019, 1, 2, 0.00, 0
d9, ci_n_ads.js, 9e19a27ee58d4e238126b48d174176ed, 1011001, 1324787, 3173305, 0.45, 0.06, 0.35, 0.89, 0.1205, 1196, 350, 2713, 6013, -0.2679, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.40, 2.18, 2.53, 3.40, 0.7131, 0.00, 0.00, 0.00, 0.00, 0, 22, 1006804:992415:1011001:, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, ea521c6b09d945c081bb744d072fc9aa, 1010957, 1324967, 3173409, 0.89, 0.05, 0.31, 0.89, 0.6905, 429, 158, 1798, 7786, -0.1795, 0.52, 0.26, 0.48, 3.52, 0.01227, 1.90, 1.03, 2.35, 6.58, -0.08108, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 22, 1006804:1010127:1008186:1009534:1009772:1008145:1000625:1010957:1000180, 8, 9, 0.00, 0
c9, ci_n_ads.js, 4808ffc04448455db6d1893a6551aa7d, 999837, 1308036, 3164379, 0.05, 0.05, 0.07, 0.11, -0.3333, 1755, 412, 1207, 2151, 0.3151, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 4.59, 4.08, 4.10, 4.59, 0.9608, 0.00, 0.00, 0.00, 0.00, 0, 22, 999837:736006:, 1, 2, 0.05, 1
auctionexpr, ci_n_ads.js, dc1f68c679a44d2f97f88d69e7ffc147, 1006804, 1323816, 3169771, 0.60, 0.05, 0.30, 0.70, 0.4615, 2097, 614, 3340, 11470, -0.1145, 0.75, 0.41, 0.56, 1.49, 0.1759, 4.41, 2.65, 4.05, 6.90, 0.08471, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 22, 1006804:1010666:1000625, 1, 3, 0.00, 0
a9, ci_n_ads.js, 0c4dd58bb1064a5188acfc9390ff281c, 992415, 1309207, 3154453, 0.50, 0.05, 0.35, 1.00, 0.1579, 2112, 339, 2245, 4913, -0.02908, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.68, 2.16, 3.04, 4.99, 0.2261, 0.00, 0.00, 0.00, 0.00, 0, 22, 1010774:1007565:992415:, 3, 3, 0.00, 0
e9, ci_n_ads.js, e6a05cef86e8446ebb99fa8df9c42acf, 1010152, 1324461, 3172534, 0.71, 0.05, 0.23, 0.71, 0.7273, 490, 252, 977, 2708, -0.1983, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.88, 0.25, 0.77, 3.76, 0.6011, 0.00, 0.00, 0.00, 0.00, 0, 22, 1010152:1009534, 1, 2, 0.61, 1
auctionexpr, ci_n_ads.js, 0390e599cd7a4430bd05f094240e9965, 1010780, 1324506, 3173121, 1.10, 0.05, 0.32, 1.10, 0.7429, 12378, 170, 2920, 15822, 0.6043, 0.31, 0.21, 0.26, 0.55, 0.1471, 6.81, 2.87, 3.86, 6.81, 0.7487, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1010780:1000180:1010127:1010869:1010957:1009049:1011029:1009990:1011056, 1, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 46ebd194033146aa90803b8bb433504b, 1011004, 1324790, 3173308, 0.45, 0.05, 0.37, 0.60, 0.1455, 4000, 1074, 1965, 4794, 0.5470, 3.16, 1.86, 2.57, 3.77, 0.3089, 8.81, 5.27, 6.49, 9.48, 0.5511, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1011058:1011004, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 9659370d02c043738ea6a3b7b71b0d00, 1010685, 1324539, 3173027, 0.75, 0.05, 0.29, 0.89, 0.5476, 339, 170, 2553, 13893, -0.1613, 0.28, 0.24, 0.29, 0.43, -0.05263, 4.21, 4.00, 4.98, 8.42, -0.1742, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1011030:1010957:1011057:1010127:1010977:1000180:1009990:1010685:1009971, 8, 9, 0.00, 0
auctionexpr, ci_n_ads.js, ddb8b33557df47b1b2f09474f39f3896, 1010978, 1324764, 3173282, 0.45, 0.05, 0.36, 0.60, 0.1636, 4000, 1074, 2065, 4794, 0.5202, 3.99, 2.56, 3.48, 4.67, 0.2417, 8.89, 5.77, 6.87, 9.56, 0.5330, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1011058:1010978, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 5bca9abca2834ebe92a58d2d90ebcdae, 1008186, 1319992, 3170896, 0.45, 0.05, 0.30, 0.89, 0.1786, 2946, 170, 1573, 6280, 0.2247, 0.55, 0.25, 0.31, 0.55, 0.8000, 7.88, 3.67, 4.68, 7.88, 0.7601, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1010957:1008186:1009990:1000180:1010127:1009534:1008145:1010685:1009049, 2, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 5bca9abca2834ebe92a58d2d90ebcdae, 1008145, 1320417, 3170813, 0.37, 0.05, 0.30, 0.89, 0.08333, 5192, 170, 1573, 6280, 0.5923, 0.32, 0.25, 0.31, 0.55, 0.03333, 7.15, 3.67, 4.68, 7.88, 0.5867, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1010957:1008186:1009990:1000180:1010127:1009534:1008145:1010685:1009049, 7, 9, 0.00, 0
auctionexpr, ci_n_ads.js, 5bca9abca2834ebe92a58d2d90ebcdae, 1010685, 1324539, 3173027, 0.75, 0.05, 0.30, 0.89, 0.5357, 339, 170, 1573, 6280, -0.2020, 0.30, 0.25, 0.31, 0.55, -0.03333, 3.77, 3.67, 4.68, 7.88, -0.2162, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1010957:1008186:1009990:1000180:1010127:1009534:1008145:1010685:1009049, 8, 9, 0.00, 0
auctionexpr, ci_n_ads.js, ab9d665bc8514653bd5a745b93c75b50, 1011058, 1324924, 3173361, 0.50, 0.05, 0.37, 0.60, 0.2364, 4794, 1074, 1965, 4794, 0.7605, 3.16, 1.86, 2.57, 3.77, 0.3089, 9.48, 5.27, 6.49, 9.48, 0.7102, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1011058:1011004, 1, 2, 0.42, 1
auctionexpr, ci_n_ads.js, e2dff023ac7244a68b7924bd98d15f04, 1000160, 1306484, 3162561, 0.70, 0.05, 0.33, 0.89, 0.4405, 1420, 167, 1831, 17734, -0.02340, 0.35, 0.20, 0.24, 0.57, 0.2973, 4.27, 2.44, 3.30, 7.32, 0.1988, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 23, 1010436:1010869:1010518:1000160:1005912:1004490:985886:711447:1008485:, 4, 9, 0.00, 0
b9, ci_n_ads.js, 643b33b86c1949138bd26fc29fa19819, 1003415, 1312470, 3166480, 0.30, 0.05, 0.27, 0.80, 0.04000, 11466, 426, 3168, 11466, 0.7516, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.59, 0.56, 0.68, 0.98, -0.2143, 0.00, 0.00, 0.00, 0.00, 0, 23, 1003415:1009966:1008145, 1, 3, 0.3, 1
d9, ci_n_ads.js, b6ef3b3bf5044606b36f1e9a223a606a, 1010979, 1324765, 3173283, 0.45, 0.05, 0.40, 0.60, 0.09091, 1191, 690, 2220, 4902, -0.2443, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.99, 1.78, 2.82, 3.92, 0.07944, 0.00, 0.00, 0.00, 0.00, 0, 23, 1000974:1010979, 2, 2, 0.45, 1
d9, ci_n_ads.js, 137d1398ed104ae9af7ae51921f3e6a5, 735923, 939146, 3162887, 0.08, 0.05, 0.10, 0.60, -0.03636, 951, 412, 1254, 2697, -0.1326, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.22, 2.22, 2.29, 2.95, -0.09589, 0.00, 0.00, 0.00, 0.00, 0, 23, 735923:1010127:, 1, 2, 0.08, 1
b9, ci_n_ads.js, 89d4477d09fd41f99a956e985cd775dc, 1009789, 1322914, 3172152, 0.39, 0.05, 0.26, 0.70, 0.2000, 6045, 357, 3986, 16055, 0.1312, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.62, 1.31, 1.60, 2.62, 0.7786, 0.00, 0.00, 0.00, 0.00, 0, 23, 1010869:1010797:1011056:1009789:1010952, 4, 5, 0.39, 1
b9, ci_n_ads.js, c6462b9c583647388d0bf266b5b755f2, 973519, 1256134, 3107122, 0.05, 0.05, 0.42, 1.00, -0.3895, 7670, 571, 3480, 7670, 0.5902, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.68, 2.16, 2.37, 3.15, 0.3131, 0.00, 0.00, 0.00, 0.00, 0, 1, 973519:1010848:980277:, 1, 3, 0.00, 0
auctionexpr, ci_n_ads.js, da4f692be3f745e68ccc3a0cfc9e0ba5, 1010520, 1324055, 3172868, 1.00, 0.05, 0.42, 1.00, 0.6105, 8014, 362, 3213, 11504, 0.4309, 0.30, 0.22, 0.30, 0.99, 0, 5.10, 1.96, 3.37, 6.35, 0.3941, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 2, 1010520:1010793:1008525:1010557:1008526:1007924, 1, 6, 0.94, 1
auctionexpr, ci_n_ads.js, 5701f13edd064c4eb15cc5b239a79355, 1008306, 1320140, 3170962, 0.80, 0.05, 0.43, 0.90, 0.4353, 4116, 410, 1892, 6574, 0.3608, 4.60, 2.00, 3.43, 4.75, 0.4255, 8.41, 4.60, 6.17, 8.41, 0.5879, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 2, 1008306:1010105, 1, 2, 0.8, 1
auctionexpr, ci_n_ads.js, c1da570daff84e1286080fb1bebdbcbc, 1010127, 1323587, 3172520, 0.60, 0.05, 0.24, 0.80, 0.4800, 2416, 598, 1668, 4112, 0.2129, 3.98, 3.08, 3.42, 4.10, 0.5490, 8.26, 5.75, 7.07, 9.91, 0.2861, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 6, 1008306:1010127, 2, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 9a92cfbff93646308e52cdc27c165c59, 736006, 1304914, 3161890, 0.11, 0.05, 0.08, 0.11, 0.5000, 1510, 412, 1257, 2306, 0.1336, 4.14, 4.14, 4.15, 4.36, -0.04545, 8.47, 6.57, 8.03, 9.85, 0.1341, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 6, 736006:999837:, 1, 2, 0.00, 0
d9, ci_n_ads.js, 2ca3e98b3e3e478f8308aa32c871d1cd, 999116, 1304435, 3162756, 0.10, 0.05, 0.36, 0.80, -0.3467, 1355, 592, 2709, 6572, -0.2264, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.33, 1.22, 1.85, 3.38, 0.2222, 0.00, 0.00, 0.00, 0.00, 0, 6, 999116:724868:, 1, 2, 0.00, 0
auctionexpr, ci_n_ads.js, 0e3d8840b755440ebd14c41f2cba7d40, 737575, 1240090, 3104176, 0.35, 0.05, 0.23, 0.35, 0.4000, 1864, 1074, 2899, 7667, -0.1570, 3.02, 2.08, 3.39, 8.66, -0.05623, 4.66, 4.60, 5.28, 6.98, -0.2605, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 7, 737575:747343:, 1, 2, 0.00, 0
auctionexpr, ci_n_ads.js, b5056e26067144d79de7b687d5c23f77, 1005922, 1317261, 3168814, 0.82, 0.05, 0.57, 1.00, 0.2632, 1488, 196, 2280, 7722, -0.1052, 0.63, 0.37, 0.49, 0.95, 0.2414, 5.18, 2.97, 4.74, 8.12, 0.08544, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 7, 1008187:1005922, 2, 2, 0.82, 1
d9, ci_n_ads.js, 9912cea4920741f185630576272c5aab, 1008525, 1320419, 3171181, 0.80, 0.05, 0.36, 0.80, 0.5867, 3953, 434, 2230, 6572, 0.2807, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 5.43, 1.97, 4.48, 6.10, 0.2300, 0.00, 0.00, 0.00, 0.00, 0, 7, 1008525:1009791, 1, 2, 0.4, 1
b9, ci_n_ads.js, 808402181bca4b5da38c8821b70195f3, 1009788, 1322907, 3172151, 0.39, 0.05, 0.42, 1.00, -0.03158, 1433, 570, 3310, 7667, -0.2645, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.62, 1.13, 1.23, 1.62, 0.7959, 0.00, 0.00, 0.00, 0.00, 0, 7, 1009788:1006804:1006675, 1, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 00f2d1e7a77d40ab91ead3a537643d02, 1007696, 1319296, 3170590, 2.50, 0.05, 0.35, 2.50, 0.8776, 2823, 613, 2010, 3410, 0.2907, 0.27, 0.26, 0.30, 0.52, -0.1154, 6.76, 4.08, 6.12, 8.17, 0.1565, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 7, 1007696:1008279, 1, 2, 0.75, 1
auctionexpr, ci_n_ads.js, 7f24271a85f14f4c80233bac123d22a7, 736006, 1304914, 3161890, 0.11, 0.05, 0.08, 0.11, 0.5000, 1510, 412, 1282, 3575, 0.07208, 4.18, 4.18, 4.18, 4.26, 0, 7.63, 6.41, 7.38, 9.95, 0.07062, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 736006:999837:, 1, 2, 0.00, 0
b9, ci_n_ads.js, 98708d4b9bbf430fadf2a310309a5e8a, 973519, 1256134, 3107122, 0.05, 0.05, 0.54, 1.50, -0.3379, 7667, 196, 3134, 13233, 0.3477, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.84, 2.27, 2.87, 4.34, -0.01449, 0.00, 0.00, 0.00, 0.00, 0, 8, 1005912:1007419:973519:, 3, 3, 0.00, 0
c9, ci_n_ads.js, 0fba179b0a864c5f9f83b393efa5c22f, 1010208, 1323673, 3172567, 0.05, 0.05, 0.41, 2.50, -0.1469, 801, 225, 1902, 7667, -0.1479, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 0.28, 0.28, 0.29, 0.51, -0.04348, 0.00, 0.00, 0.00, 0.00, 0, 8, 1010208:1000717:1006985:980270:1007125:1010812:984508:1010793:1010528:, 1, 9, 0.00, 0
b9, ci_n_ads.js, 319257ca254340aabaa654719017474c, 980277, 1298145, 3115793, 0.05, 0.05, 0.36, 0.80, -0.4133, 5676, 432, 2676, 6572, 0.4886, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 2.22, 1.63, 2.12, 3.56, 0.05181, 0.00, 0.00, 0.00, 0.00, 0, 8, 973491:980277:, 2, 2, 0.00, 0
b9, ci_n_ads.js, 441a8d8edf0d46d5878953c4b5496a97, 980277, 1298145, 3115793, 0.05, 0.05, 0.44, 1.10, -0.3714, 5675, 424, 2790, 7721, 0.3954, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 1.61, 0.00, 0.84, 1.94, 0.3969, 6.21, 0.00, 2.95, 6.48, 0.5031, 8, 729014:1010666:980277:, 3, 3, 0.00, 0
auctionexpr, ci_n_ads.js, 125ed90400b1411882784df25e66dda4, 1008525, 1320420, 3171181, 0.80, 0.05, 0.38, 0.80, 0.5600, 4009, 401, 1786, 5675, 0.4215, 6.22, 2.20, 5.73, 6.80, 0.1065, 8.60, 5.24, 6.76, 8.60, 0.5476, 0.00, 0.00, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0, 8, 1008525:1010105, 1, 2, 0.00, 0
b9, ci_n_ads.js, c01e284e10c14e418ec4423519cc637f, 1005910, 1316004, 3168785, 0.35, 0.05, 0.35, 1.10, 0, 7147, 661, 3038, 11507, 0.3788, 1.00, 1.00, 1.00, 1.00, 1000, 1.00, 1.00, 1.00, 1.00, 1000, 3.14, 3.00, 4.20, 6.54, -0.2994, 0.00, 0.00, 0.00, 0.00, 0, 8, 1005910:999300:980263:, 1, 3, 0.13, 1
